年,地區,總計 活動個數,總計 出席人次,視覺藝術,工藝,設計,音樂,戲劇,舞蹈,說唱,影片,民俗,語文,圖書,綜藝,其他
2011,臺閩地區,59300,200633,5766,2736,1179,8431,3820,1902,221,11579,4052,9908,2864,2608,4234
2011,臺灣地區,58949,200512,5706,2734,1177,8392,3776,1893,218,11517,4030,9903,2859,2583,4161
2011,北部地區,21729,105959,2344,907,566,3231,1970,717,86,4956,1889,2446,819,745,1053
2011,臺北市,5824,57283,1102,161,371,1526,871,260,46,367,482,263,17,113,245
2011,新北市,5210,23183,367,207,57,384,271,76,11,2036,388,541,292,282,298
2011,基隆市,961,1457,110,42,2,94,87,108,3,112,111,86,73,46,87
2011,新竹市,2049,2120,183,295,26,232,62,64,7,627,34,180,30,71,238
2011,桃園縣,3773,14002,376,90,73,409,144,59,9,1236,304,568,320,133,52
2011,新竹縣,1086,1738,95,28,8,79,38,30,1,148,92,477,26,32,32
2011,宜蘭縣,2826,6176,111,84,29,507,497,120,9,430,478,331,61,68,101
2011,中部地區,16470,53636,1712,864,393,1774,886,601,87,4125,1082,2089,918,742,1197
2011,臺中市,7814,23303,790,267,171,887,265,178,11,2592,330,1241,441,166,475
2011,苗栗縣,1096,9782,111,195,9,216,44,121,70,22,67,20,45,51,125
2011,彰化縣,4454,13460,547,190,159,439,362,252,1,852,266,530,174,230,452
2011,南投縣,2316,5699,226,191,47,170,103,34,5,537,289,191,218,231,74
2011,雲林縣,790,1392,38,21,7,62,112,16,0,122,130,107,40,64,71
2011,南部地區,18779,37815,1432,738,204,3107,859,500,40,2230,762,5315,995,853,1744
2011,高雄市,7559,21995,426,265,63,747,217,139,9,833,121,3303,682,209,545
2011,臺南市,7012,9338,595,280,96,1776,328,245,16,522,385,1345,130,355,939
2011,嘉義市,1198,1959,152,66,11,235,59,40,0,371,26,132,45,29,32
2011,嘉義縣,767,1619,45,13,6,48,86,17,7,112,24,309,18,43,39
2011,屏東縣,1859,2618,174,99,21,256,164,49,7,323,171,169,104,173,149
2011,澎湖縣,384,286,40,15,7,45,5,10,1,69,35,57,16,44,40
2011,東部地區,1971,3102,218,225,14,280,61,75,5,206,297,53,127,243,167
2011,花蓮縣,955,1632,115,161,0,185,32,30,1,88,133,42,19,19,130
2011,臺東縣,1016,1470,103,64,14,95,29,45,4,118,164,11,108,224,37
2011,福建省,351,121,60,2,2,39,44,9,3,62,22,5,5,25,73
2011,金門縣,148,51,21,0,2,8,10,2,0,44,12,1,4,7,37
2011,連江縣,203,70,39,2,0,31,34,7,3,18,10,4,1,18,36
