年度,經濟成長率,平均每人國民所得毛額（美元）,儲蓄率,失業率,產業結構（按各產業GDP比重）-農業,產業結構（按各產業GDP比重）-工業,產業結構（按各產業GDP比重）-服務業,產業結構（按各產業GDP比重）-服務業-金融中介業,產業結構（按各產業GDP比重）-服務業-保險業,產業結構（按各產業GDP比重）-服務業-證券期貨及其它金融業,躉售物價-指數,躉售物價-年增率,消費者物價-指數,消費者物價-年增率,基本工資（元）-月薪,基本工資（元）-時薪,工業及服務業平均月薪資（元）,製造業平均月薪資（元）,工業及服務業平均月工時（小時）
1995,6.50,13326,26.86,1.79,…,…,…,…,…,…,…,…,…,…,14880,62.0,35389,32555,194.3
1996,6.18,13836,27.38,2.60,…,…,…,…,…,…,…,…,…,…,15360,64.0,36699,33911,193.3
1997,6.11,14184,27.20,2.72,…,…,…,…,…,…,…,…,…,…,15840,66.0,38489,35492,193.8
1998,4.21,12934,27.06,2.69,…,…,…,…,…,…,…,…,…,…,15840,66.0,39673,36546,190.2
1999,6.72,13947,27.38,2.92,…,…,…,…,…,…,…,…,…,…,15840,66.0,40842,37738,190.2
2000,6.42,15142,27.98,2.99,…,…,…,…,…,…,…,…,…,…,15840,66.0,41861,38914,190.1
2001,-1.26,13703,27.10,4.57,…,…,…,…,…,…,…,…,…,…,15840,66.0,41960,38412,180.4
2002,5.57,14062,28.44,5.17,1.77,31.12,67.11,5.65,1.52,0.69,…,…,…,…,15840,66.0,41530,38444,181.4
2003,4.12,14544,30.24,4.99,1.66,32.11,66.22,5.18,1.55,0.65,…,…,…,…,15840,66.0,42065,39558,181.3
2004,6.51,15879,30.52,4.44,1.63,32.73,65.64,5.10,1.54,0.76,…,…,…,…,15840,66.0,42680,40666,183.5
2005,5.42,16930,29.62,4.13,1.61,32.28,66.11,5.27,1.59,0.62,99.31,0.61,88.42,2.31,15840,66.0,43159,41868,181.9
2006,5.62,17446,31.05,3.91,1.56,32.38,66.06,4.71,1.64,0.78,104.91,5.64,88.95,0.60,15840,66.0,43488,42403,180.9
2007,6.52,18256,31.46,3.91,1.45,32.96,65.59,4.45,1.70,0.98,111.69,6.46,90.55,1.80,17280,95.0,44392,43240,180.4
2008,0.70,18564,29.62,4.14,1.55,31.30,67.15,4.48,1.68,0.85,117.44,5.15,93.74,3.52,17280,95.0,44367,43297,179.7
2009,-1.57,17531,29.29,5.85,1.68,31.50,66.82,3.73,1.65,0.85,107.19,-8.73,92.92,-0.87,17280,95.0,42182,39525,176.7
2010,10.63,19864,33.14,5.21,1.60,33.78,64.63,3.82,1.56,0.81,113.04,5.46,93.82,0.97,17280,95.0,44646,43152,181.1
2011,3.80,21507,31.46,4.39,1.72,33.02,65.27,3.97,1.66,0.76,117.92,4.32,95.15,1.42,17880,98.0,45961,44603,178.7
2012,2.06,21967,30.45,4.24,1.67,32.75,65.58,4.08,1.72,0.62,116.55,-1.16,96.99,1.93,18780,103.0,46109,45238,178.4
2013,2.20,22526,32.00,4.18,1.69,33.46,64.85,4.13,1.68,0.61,113.72,-2.43,97.76,0.79,19047,109.0,46174,45448,177.1
2014,4.02,23330,33.58,3.96,1.80,34.79,63.41,4.20,1.69,0.64,113.08,-0.56,98.93,1.20,19273,115.0,47832,47018,177.9
2015,0.81,23109,34.87,3.78,1.69,35.27,63.04,4.21,1.71,0.62,103.07,-8.85,98.63,-0.30,23100,150.0,49024,48713,175.3
2016,1.51,23289,34.29,3.92,1.79,35.54,62.68,4.10,1.85,0.58,100.00,-2.98,100.00,1.39,20008,126.0,49266,49162,169.6
2017,3.08,25055,34.29,3.76,1.77,35.53,62.70,4.06,1.94,0.67,100.90,0.90,100.62,0.62,21009,133.0,50480,50678,169.6
2018,2.63,25501,r   32.97,3.71,r  1.60,r  35.21,r  63.19,…,…,…,104.56,3.63,101.98,1.35,22000,140.0,52407,52948,169.4
